"filename", "language", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "HTML", "JavaScript", "XML", "PostCSS", "Markdown", "comment", "blank", "total"
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\services\orchestratorClient.ts", "TypeScript", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 16, 120
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\services\pipeline.ts", "TypeScript", 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 20, 210
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\services\processors\activityProcessor.ts", "TypeScript", 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 21, 172
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\services\processors\processSentiment.ts", "TypeScript", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 11, 83
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\services\processors\workers\activity.worker.ts", "TypeScript", 0, 227, 0, 0, 0, 0, 0, 0, 0, 2, 31, 260
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\services\processors\workers\messages.worker.ts", "TypeScript", 0, 385, 0, 0, 0, 0, 0, 0, 0, 0, 40, 425
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\services\processors\workers\sentiment.worker.ts", "TypeScript", 0, 251, 0, 0, 0, 0, 0, 0, 0, 0, 34, 285
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\services\processors\zipProcessor.ts", "TypeScript", 0, 509, 0, 0, 0, 0, 0, 0, 0, 0, 57, 566
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\types\discord.ts", "TypeScript", 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 18, 159
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\types\styles.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\types\types.d.ts", "TypeScript", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 11, 109
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\types\worker.ts", "TypeScript", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 20, 122
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\utils\serviceUtils\deviceProfile.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 10, 53
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\utils\serviceUtils\discordUser.ts", "TypeScript", 0, 178, 0, 0, 0, 0, 0, 0, 0, 1, 22, 201
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\utils\serviceUtils\messageStream.ts", "TypeScript", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 9, 81
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\utils\serviceUtils\mockData.ts", "TypeScript", 0, 553, 0, 0, 0, 0, 0, 0, 0, 0, 56, 609
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\utils\serviceUtils\profiler.ts", "TypeScript", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 16, 114
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\utils\serviceUtils\sentimentAnalyzer.ts", "TypeScript", 0, 796, 0, 0, 0, 0, 0, 0, 0, 0, 13, 809
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\utils\serviceUtils\streakUtils.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\utils\serviceUtils\textUtils.ts", "TypeScript", 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 10, 139
